prefix_36	short_name_36	name_36
00:1B:C5:00:00:00/36	Convergi	Converging Systems Inc.
00:1B:C5:00:10:00/36	OpenrbCo	OpenRB.com, Direct SIA
00:1B:C5:00:20:00/36	Goramo-J	GORAMO - Janusz Gorecki
00:1B:C5:00:30:00/36	Microsig	MicroSigns Technologies Inc
00:1B:C5:00:40:00/36	Intellvi	Intellvisions Software Ltd
00:1B:C5:00:50:00/36	Private
00:1B:C5:00:60:00/36	Triax-Hi	TRIAX-HIRSCHMANN Multi-Media GmbH
00:1B:C5:00:70:00/36	EnergyAw	Energy Aware Technology
00:1B:C5:00:80:00/36	DalajEle	Dalaj Electro-Telecom
00:1B:C5:00:90:00/36	SolomonS	Solomon Systech Pte Ltd
00:1B:C5:00:A0:00/36	MercuryH	Mercury HMI Ltd
00:1B:C5:00:B0:00/36	Private
00:1B:C5:00:C0:00/36	QuantumT	Quantum Technology Sciences, Inc.
00:1B:C5:00:D0:00/36	Advanced	Advanced Scientific Concepts, Inc.
00:1B:C5:00:E0:00/36	VigorEle	Vigor Electric Corp
00:1B:C5:00:F0:00/36	Simavita	Simavita Pty Ltd
00:1B:C5:01:00:00/36	SoftelSa	Softel SA de CV
00:1B:C5:01:10:00/36	OooNppMe	OOO NPP Mera
00:1B:C5:01:20:00/36	TokyoCos	Tokyo Cosmos Electric, Inc.
00:1B:C5:01:30:00/36	ZamirRec	Zamir Recognition Systems Ltd.
00:1B:C5:01:40:00/36	Private
00:1B:C5:01:50:00/36	Corporat	Corporate Systems Engineering
00:1B:C5:01:60:00/36	Energote	Energotechnica OOO NPP Ltd
00:1B:C5:01:70:00/36	CpacketN	cPacket Networks
00:1B:C5:01:90:00/36	DunlopCo	Dunlop Systems & Components
00:1B:C5:01:A0:00/36	AbaElect	Aba Electronics Technology Co.,Ltd
00:1B:C5:01:B0:00/36	Commonwe	Commonwealth Scientific and Industrial Research Organisation
00:1B:C5:01:C0:00/36	Coolit	Coolit Systems, Inc.
00:1B:C5:01:D0:00/36	Rose+Her	Rose + Herleth GbR
00:1B:C5:01:E0:00/36	Private
00:1B:C5:01:F0:00/36	SaturnSo	Saturn Solutions Ltd
00:1B:C5:02:00:00/36	Momentum	Momentum Data Systems
00:1B:C5:02:10:00/36	Openpeak	Openpeak, Inc
00:1B:C5:02:20:00/36	CjscStcS	Cjsc Stc Simos
00:1B:C5:02:30:00/36	MagoDiDe	MAGO di Della Mora Walter
00:1B:C5:02:40:00/36	AnnecyEl	Annecy Electronique Sas
00:1B:C5:02:50:00/36	Andersen	andersen lighting GmbH
00:1B:C5:02:60:00/36	DimepSis	DIMEP Sistemas
00:1B:C5:02:70:00/36	CameaSpo	CAMEA, spol. s r.o.
00:1B:C5:02:80:00/36	Stechwin	Stechwin.Co.Ltd.
00:1B:C5:02:90:00/36	2FranceM	2 France Marine
00:1B:C5:02:A0:00/36	Analytic	Analytical Instrument Systems, Inc.
00:1B:C5:02:B0:00/36	SaturnSo	Saturn South Pty Ltd
00:1B:C5:02:C0:00/36	CareEver	Care Everywhere LLC
00:1B:C5:02:D0:00/36	Ddtronik	DDTRONIK Dariusz Dowgiert
00:1B:C5:02:E0:00/36	BettiniS	Bettini Srl
00:1B:C5:02:F0:00/36	Fibrain	Fibrain Co. Ltd.
00:1B:C5:03:00:00/36	Octogate	OctoGate it Security Systems GmbH
00:1B:C5:03:10:00/36	Adixein	Adixein Limited
00:1B:C5:03:20:00/36	OsborneC	Osborne Coinage Co
00:1B:C5:03:30:00/36	JeSuunni	JE Suunnittelu Oy
00:1B:C5:03:40:00/36	Intercel	InterCEL Pty Ltd
00:1B:C5:03:50:00/36	Rtls	RTLS Ltd.
00:1B:C5:03:60:00/36	LomarSrl	Lomar Srl
00:1B:C5:03:70:00/36	ItwReyfl	ITW Reyflex North America
00:1B:C5:03:80:00/36	SeedInte	SEED International Ltd.
00:1B:C5:03:90:00/36	EuresysS	Euresys S.A.
00:1B:C5:03:A0:00/36	Mindmade	MindMade Sp. z o.o.
00:1B:C5:03:B0:00/36	Promixis	Promixis, LLC
00:1B:C5:03:C0:00/36	Xiphos	Xiphos Systems Corp.
00:1B:C5:03:D0:00/36	Rioxo	rioxo GmbH
00:1B:C5:03:E0:00/36	Daylight	Daylight Solutions, Inc
00:1B:C5:03:F0:00/36	Eltrade	ELTRADE Ltd
00:1B:C5:04:00:00/36	OooActid	OOO Actidata
00:1B:C5:04:10:00/36	DesignaE	DesignA Electronics Limited
00:1B:C5:04:20:00/36	Chamsys	ChamSys Ltd
00:1B:C5:04:30:00/36	Coincide	Coincident, Inc.
00:1B:C5:04:40:00/36	Zao&Quot	ZAO &quot;RADIUS Avtomatika&quot;
00:1B:C5:04:50:00/36	MarvelDi	Marvel Digital International Limited
00:1B:C5:04:60:00/36	Géant
00:1B:C5:04:70:00/36	PtAmanin	PT. Amanindo Nusapadu
00:1B:C5:04:80:00/36	Xpossibl	XPossible Technologies Pte Ltd
00:1B:C5:04:90:00/36	Eurocont	EUROCONTROL S.p.A.
00:1B:C5:04:A0:00/36	CertisTe	Certis Technology International Pte Ltd
00:1B:C5:04:B0:00/36	SiliconC	Silicon Controls
00:1B:C5:04:C0:00/36	RhinoCon	Rhino Controls Ltd.
00:1B:C5:04:D0:00/36	EirakuEl	eiraku electric corp.
00:1B:C5:04:E0:00/36	Mitsubis	Mitsubishi Electric India PVT. LTD
00:1B:C5:04:F0:00/36	Orbital	Orbital Systems, Ltd.
00:1B:C5:05:00:00/36	Teliswit	TeliSwitch Solutions
00:1B:C5:05:10:00/36	QqNaviga	QQ Navigation AB
